value1,temperature,humidity,pressure,wind_speed
80.2,25.0,59.5,1012.0,8.0
79.9,25.2,60.0,1012.0,3.0
80.2,24.8,60.5,1012.0,3.0
80.3,25.2,61.0,1012.0,3.0
80.1,25.0,61.5,1012.0,3.0
80.4,25.0,62.0,1012.0,3.0
79.8,25.1,62.5,1012.0,3.0
80.3,25.0,63.0,1012.0,3.0
80.4,25.1,63.5,1012.0,3.0
79.7,25.0,64.0,1012.0,3.0
79.9,25.1,64.5,1012.0,3.0
80.1,24.9,65.0,1012.0,3.0
80.2,25.0,65.5,1012.0,3.0
80.3,25.1,66.0,1012.0,3.0
79.9,25.1,66.5,1012.0,3.0
80.2,24.8,67.0,1012.0,3.0
79.8,29.9,67.5,1012.0,3.0
80.0,29.9,68.0,1012.0,3.0
80.3,30.0,68.5,1012.0,3.0
80.4,30.1,69.0,1012.0,3.0
80.0,30.0,69.5,1012.0,3.0
80.4,30.1,50.0,1012.0,3.0
80.0,30.2,50.5,1012.0,3.0
79.6,29.9,51.0,1012.0,3.0
80.5,30.0,51.5,1012.0,3.0
80.1,29.9,52.0,1012.0,3.0
79.7,30.2,52.5,1012.0,3.0
80.3,29.8,53.0,1012.0,3.0
80.1,29.9,53.5,1012.0,3.0
80.4,29.8,54.0,1012.0,3.0
80.2,30.1,54.5,1012.0,3.0
79.7,29.8,55.0,1012.0,8.0
80.4,30.1,55.5,1012.0,8.0
79.8,29.8,56.0,1012.0,8.0
79.8,29.9,56.5,1012.0,8.0
80.3,30.1,57.0,1012.0,8.0
80.3,29.9,57.5,1012.0,8.0
79.5,30.0,58.0,1012.0,8.0
79.8,29.9,58.5,1012.0,8.0
80.1,30.0,59.0,1012.0,8.0
80.3,29.9,59.5,1012.0,8.0
50.2,15.0,60.0,1014.0,8.0
49.9,14.8,60.5,1014.0,8.0
50.3,15.0,61.0,1014.0,8.0
50.4,14.9,61.5,1014.0,8.0
49.5,15.1,62.0,1014.0,8.0
49.6,15.1,62.5,1014.0,8.0
49.9,14.9,63.0,1014.0,8.0
50.1,15.1,63.5,1014.0,8.0
49.6,14.8,64.0,1014.0,8.0
49.8,14.9,64.5,1014.0,8.0
49.9,14.9,65.0,1014.0,8.0
50.0,14.9,65.5,1014.0,8.0
50.0,14.8,66.0,1014.0,8.0
49.7,14.9,66.5,1014.0,8.0
49.9,15.0,67.0,1014.0,8.0
49.8,15.0,67.5,1014.0,8.0
49.8,15.2,68.0,1014.0,8.0
49.9,14.9,68.5,1014.0,8.0
50.1,14.9,69.0,1014.0,8.0
50.1,15.2,69.5,1014.0,8.0
49.6,15.0,50.0,1014.0,3.0
50.4,15.0,50.5,1014.0,3.0
50.2,14.8,51.0,1014.0,3.0
50.1,14.9,51.5,1014.0,3.0
50.3,14.9,52.0,1014.0,3.0
50.4,20.0,52.5,1014.0,3.0
49.7,20.1,53.0,1014.0,3.0
50.3,20.1,53.5,1014.0,3.0
49.6,19.9,54.0,1014.0,3.0
50.4,19.8,54.5,1014.0,3.0
49.8,20.1,55.0,1014.0,3.0
50.5,20.1,55.5,1014.0,3.0
50.3,20.2,56.0,1014.0,3.0
50.2,20.1,56.5,1014.0,3.0
50.3,20.1,57.0,1014.0,3.0
50.2,19.9,57.5,1014.0,3.0
50.3,19.9,58.0,1014.0,3.0
49.8,20.2,58.5,1014.0,3.0
49.7,20.0,59.0,1014.0,3.0
50.4,19.9,59.5,1014.0,3.0
49.6,19.9,60.0,1014.0,3.0
50.2,20.0,60.5,1014.0,3.0
50.3,20.1,61.0,1014.0,3.0
50.2,19.9,61.5,1014.0,3.0
50.2,19.8,62.0,1014.0,3.0
49.8,20.1,62.5,1014.0,3.0
49.9,19.9,63.0,1014.0,3.0
49.9,19.9,63.5,1014.0,3.0
50.5,20.1,64.0,1014.0,3.0
50.3,20.2,64.5,1014.0,3.0
79.8,25.2,65.0,1016.0,8.0
80.5,24.9,65.5,1016.0,8.0
79.7,25.0,66.0,1016.0,8.0
80.2,24.8,66.5,1016.0,8.0
80.4,24.8,67.0,1016.0,8.0
80.1,24.9,67.5,1016.0,8.0
80.4,24.9,68.0,1016.0,8.0
80.3,25.1,68.5,1016.0,8.0
80.3,25.1,69.0,1016.0,8.0
79.6,25.0,69.5,1016.0,8.0
80.0,24.9,50.0,1016.0,8.0
79.5,25.1,50.5,1016.0,8.0
79.9,25.2,51.0,1016.0,8.0
79.6,24.9,51.5,1016.0,8.0
79.5,25.0,52.0,1016.0,8.0
79.7,25.0,52.5,1016.0,8.0
79.5,25.2,53.0,1016.0,8.0
80.3,24.9,53.5,1016.0,8.0
79.8,25.1,54.0,1016.0,8.0
79.6,25.2,54.5,1016.0,8.0
80.4,24.9,55.0,1016.0,8.0
80.1,24.9,55.5,1016.0,8.0
80.0,25.2,56.0,1016.0,8.0
80.3,25.1,56.5,1016.0,8.0
80.0,25.2,57.0,1016.0,8.0
80.4,30.0,57.5,1016.0,8.0
80.4,29.8,58.0,1016.0,8.0
79.9,30.1,58.5,1016.0,8.0
80.2,30.0,59.0,1016.0,8.0
79.7,30.2,59.5,1016.0,8.0
80.3,29.9,60.0,1016.0,3.0
80.4,29.9,60.5,1016.0,3.0
80.3,29.8,61.0,1016.0,3.0
80.4,30.0,61.5,1016.0,3.0
79.6,30.1,62.0,1016.0,3.0
80.2,29.9,62.5,1016.0,3.0
80.2,30.0,63.0,1016.0,3.0
79.6,30.2,63.5,1016.0,3.0
80.3,29.9,64.0,1016.0,3.0
79.7,30.2,64.5,1016.0,3.0
80.5,30.0,65.0,1016.0,3.0
80.3,30.0,65.5,1016.0,3.0
80.4,30.1,66.0,1016.0,3.0
79.7,30.1,66.5,1016.0,3.0
80.4,29.8,67.0,1016.0,3.0
79.7,29.9,67.5,1016.0,3.0
80.2,30.0,68.0,1016.0,3.0
79.6,29.9,68.5,1016.0,3.0
80.1,29.9,69.0,1016.0,3.0
79.9,30.2,69.5,1016.0,3.0
49.6,15.1,50.0,1018.0,3.0
50.2,14.8,50.5,1018.0,3.0
50.5,15.1,51.0,1018.0,3.0
49.9,14.8,51.5,1018.0,3.0
50.2,14.9,52.0,1018.0,3.0
50.0,15.0,52.5,1018.0,3.0
50.3,15.0,53.0,1018.0,3.0
49.8,15.0,53.5,1018.0,3.0
49.9,14.9,54.0,1018.0,3.0
50.4,14.8,54.5,1018.0,3.0
49.7,15.0,55.0,1018.0,8.0
49.6,14.8,55.5,1018.0,8.0
49.5,15.2,56.0,1018.0,8.0
49.6,15.0,56.5,1018.0,8.0
49.9,15.0,57.0,1018.0,8.0
50.2,15.0,57.5,1018.0,8.0
49.7,14.9,58.0,1018.0,8.0
50.4,15.0,58.5,1018.0,8.0
50.5,14.9,59.0,1018.0,8.0
49.8,14.8,59.5,1018.0,8.0
49.7,15.1,60.0,1018.0,8.0
50.2,14.9,60.5,1018.0,8.0
50.2,15.0,61.0,1018.0,8.0
50.2,15.0,61.5,1018.0,8.0
49.5,15.2,62.0,1018.0,8.0
50.1,19.8,62.5,1018.0,8.0
50.2,20.2,63.0,1018.0,8.0
50.3,19.9,63.5,1018.0,8.0
49.6,20.2,64.0,1018.0,8.0
50.3,20.1,64.5,1018.0,8.0
49.6,20.2,65.0,1018.0,8.0
49.9,20.1,65.5,1018.0,8.0
50.4,20.0,66.0,1018.0,8.0
50.1,20.2,66.5,1018.0,8.0
49.9,20.0,67.0,1018.0,8.0
50.2,20.0,67.5,1018.0,8.0
50.2,20.0,68.0,1018.0,8.0
50.3,20.1,68.5,1018.0,8.0
49.9,20.0,69.0,1018.0,8.0
50.1,19.8,69.5,1018.0,8.0
49.5,20.0,50.0,1018.0,3.0
50.2,20.2,50.5,1018.0,3.0
50.0,20.2,51.0,1018.0,3.0
49.8,19.9,51.5,1018.0,3.0
49.5,19.8,52.0,1018.0,3.0
49.7,20.1,52.5,1018.0,3.0
49.8,20.2,53.0,1018.0,3.0
49.5,19.9,53.5,1018.0,3.0
50.2,19.8,54.0,1018.0,3.0
50.3,20.0,54.5,1018.0,3.0
80.2,25.1,55.0,1020.0,3.0
79.5,25.1,55.5,1020.0,3.0
79.5,25.0,56.0,1020.0,3.0
79.5,25.1,56.5,1020.0,3.0
79.8,24.8,57.0,1020.0,3.0
80.5,25.0,57.5,1020.0,3.0
80.2,24.9,58.0,1020.0,3.0
80.5,24.9,58.5,1020.0,3.0
80.2,25.1,59.0,1020.0,3.0
79.9,24.9,59.5,1020.0,3.0
80.0,25.2,60.0,1020.0,3.0
80.5,24.8,60.5,1020.0,3.0
79.8,25.1,61.0,1020.0,3.0
79.6,24.8,61.5,1020.0,3.0
80.4,24.9,62.0,1020.0,3.0
79.8,24.8,62.5,1020.0,3.0
80.3,25.0,63.0,1020.0,3.0
80.4,24.8,63.5,1020.0,3.0
80.3,24.9,64.0,1020.0,3.0
80.4,24.9,64.5,1020.0,3.0
80.3,25.0,65.0,1020.0,8.0
80.0,25.1,65.5,1020.0,8.0
80.3,24.9,66.0,1020.0,8.0
79.7,25.1,66.5,1020.0,8.0
79.8,25.1,67.0,1020.0,8.0
80.1,30.1,67.5,1020.0,8.0
80.1,30.0,68.0,1020.0,8.0
80.3,29.8,68.5,1020.0,8.0
80.5,29.9,69.0,1020.0,8.0
80.3,30.1,69.5,1020.0,8.0
80.3,29.8,50.0,1020.0,8.0
80.0,29.9,50.5,1020.0,8.0
80.3,29.8,51.0,1020.0,8.0
79.6,30.1,51.5,1020.0,8.0
80.0,29.9,52.0,1020.0,8.0
80.1,30.0,52.5,1020.0,8.0
80.0,29.9,53.0,1020.0,8.0
80.4,30.1,53.5,1020.0,8.0
80.3,30.1,54.0,1020.0,8.0
80.2,30.0,54.5,1020.0,8.0
80.0,30.1,55.0,1020.0,8.0
80.4,29.8,55.5,1020.0,8.0
80.4,30.1,56.0,1020.0,8.0
80.1,30.2,56.5,1020.0,8.0
79.8,30.0,57.0,1020.0,8.0
80.1,30.2,57.5,1020.0,8.0
80.5,30.0,58.0,1020.0,8.0
79.8,30.2,58.5,1020.0,8.0
80.2,30.0,59.0,1020.0,8.0
79.8,30.2,59.5,1020.0,8.0
50.3,15.1,60.0,1022.0,3.0
49.8,15.1,60.5,1022.0,3.0
49.8,15.0,61.0,1022.0,3.0
50.2,14.8,61.5,1022.0,3.0
49.5,15.0,62.0,1022.0,3.0
49.7,15.2,62.5,1022.0,3.0
50.4,14.9,63.0,1022.0,3.0
49.6,14.9,63.5,1022.0,3.0
50.3,15.2,64.0,1022.0,3.0
49.6,15.1,64.5,1022.0,3.0
49.9,15.1,65.0,1022.0,3.0
50.2,14.9,65.5,1022.0,3.0
50.2,15.1,66.0,1022.0,3.0
49.9,14.9,66.5,1022.0,3.0
50.3,14.9,67.0,1022.0,3.0
50.2,15.2,67.5,1022.0,3.0
50.1,14.8,68.0,1022.0,3.0
50.1,14.9,68.5,1022.0,3.0
49.6,15.2,69.0,1022.0,3.0
49.8,15.1,69.5,1022.0,3.0
50.2,14.9,50.0,1022.0,3.0
49.6,15.0,50.5,1022.0,3.0
50.2,15.0,51.0,1022.0,3.0
50.2,15.0,51.5,1022.0,3.0
50.4,15.0,52.0,1022.0,3.0
49.9,20.1,52.5,1022.0,3.0
49.6,19.9,53.0,1022.0,3.0
49.7,20.0,53.5,1022.0,3.0
49.9,20.1,54.0,1022.0,3.0
50.4,19.9,54.5,1022.0,3.0
49.5,20.2,55.0,1022.0,8.0
50.2,19.9,55.5,1022.0,8.0
50.3,20.1,56.0,1022.0,8.0
50.2,19.9,56.5,1022.0,8.0
50.1,19.9,57.0,1022.0,8.0
49.9,20.0,57.5,1022.0,8.0
49.5,20.1,58.0,1022.0,8.0
50.3,20.1,58.5,1022.0,8.0
49.7,20.0,59.0,1022.0,8.0
49.9,19.9,59.5,1022.0,8.0
50.3,20.2,60.0,1022.0,8.0
49.6,19.9,60.5,1022.0,8.0
49.7,20.2,61.0,1022.0,8.0
49.6,20.1,61.5,1022.0,8.0
50.3,20.1,62.0,1022.0,8.0
49.5,20.2,62.5,1022.0,8.0
50.0,20.0,63.0,1022.0,8.0
49.5,20.1,63.5,1022.0,8.0
49.7,20.2,64.0,1022.0,8.0
50.4,20.2,64.5,1022.0,8.0
79.8,25.1,65.0,1024.0,8.0
79.8,25.0,65.5,1024.0,8.0
79.7,25.1,66.0,1024.0,8.0
80.0,24.9,66.5,1024.0,8.0
80.4,25.2,67.0,1024.0,8.0
80.0,25.1,67.5,1024.0,8.0
80.5,25.0,68.0,1024.0,8.0
80.2,24.9,68.5,1024.0,8.0
79.9,25.2,69.0,1024.0,8.0
79.8,25.1,69.5,1024.0,8.0
79.7,25.0,50.0,1024.0,3.0
79.7,25.1,50.5,1024.0,3.0
79.6,25.0,51.0,1024.0,3.0
80.0,25.1,51.5,1024.0,3.0
80.2,24.9,52.0,1024.0,3.0
80.1,25.1,52.5,1024.0,3.0
79.7,25.2,53.0,1024.0,3.0
80.4,25.0,53.5,1024.0,3.0
79.7,24.9,54.0,1024.0,3.0
79.9,25.0,54.5,1024.0,3.0
80.3,25.0,55.0,1024.0,3.0
80.2,25.1,55.5,1024.0,3.0
80.4,24.9,56.0,1024.0,3.0
79.8,24.9,56.5,1024.0,3.0
80.2,24.8,57.0,1024.0,3.0
80.1,30.1,57.5,1024.0,3.0
80.2,30.2,58.0,1024.0,3.0
80.0,30.0,58.5,1024.0,3.0
80.1,29.9,59.0,1024.0,3.0
79.9,29.8,59.5,1024.0,3.0
80.0,29.8,60.0,1024.0,3.0
80.0,29.9,60.5,1024.0,3.0
80.3,30.0,61.0,1024.0,3.0
80.3,30.2,61.5,1024.0,3.0
79.7,30.0,62.0,1024.0,3.0
79.7,29.8,62.5,1024.0,3.0
80.0,29.8,63.0,1024.0,3.0
80.1,30.0,63.5,1024.0,3.0
80.3,29.8,64.0,1024.0,3.0
79.9,30.1,64.5,1024.0,3.0
80.0,29.8,65.0,1024.0,8.0
79.5,30.1,65.5,1024.0,8.0
80.0,30.1,66.0,1024.0,8.0
80.1,30.1,66.5,1024.0,8.0
79.6,30.0,67.0,1024.0,8.0
80.2,30.2,67.5,1024.0,8.0
80.2,30.0,68.0,1024.0,8.0
80.1,29.8,68.5,1024.0,8.0
80.3,30.0,69.0,1024.0,8.0
79.7,30.1,69.5,1024.0,8.0
49.7,14.9,50.0,1026.0,8.0
50.0,15.0,50.5,1026.0,8.0
49.7,14.9,51.0,1026.0,8.0
50.3,14.9,51.5,1026.0,8.0
50.3,15.1,52.0,1026.0,8.0
50.0,15.0,52.5,1026.0,8.0
50.0,14.9,53.0,1026.0,8.0
50.2,15.1,53.5,1026.0,8.0
49.6,14.8,54.0,1026.0,8.0
50.1,15.1,54.5,1026.0,8.0
49.6,14.8,55.0,1026.0,8.0
49.5,15.0,55.5,1026.0,8.0
49.9,15.0,56.0,1026.0,8.0
49.7,15.2,56.5,1026.0,8.0
50.3,15.1,57.0,1026.0,8.0
50.5,14.9,57.5,1026.0,8.0
50.1,15.2,58.0,1026.0,8.0
49.5,15.1,58.5,1026.0,8.0
50.0,15.0,59.0,1026.0,8.0
49.9,15.0,59.5,1026.0,8.0
50.0,15.2,60.0,1026.0,3.0
49.5,14.9,60.5,1026.0,3.0
50.1,15.0,61.0,1026.0,3.0
50.2,15.1,61.5,1026.0,3.0
50.2,14.9,62.0,1026.0,3.0
50.2,19.9,62.5,1026.0,3.0
50.1,19.8,63.0,1026.0,3.0
50.3,20.0,63.5,1026.0,3.0
50.0,19.9,64.0,1026.0,3.0
50.2,20.2,64.5,1026.0,3.0
49.6,19.9,65.0,1026.0,3.0
50.5,19.9,65.5,1026.0,3.0
50.4,20.2,66.0,1026.0,3.0
50.2,20.0,66.5,1026.0,3.0
50.3,19.9,67.0,1026.0,3.0
50.4,20.1,67.5,1026.0,3.0
49.7,20.0,68.0,1026.0,3.0
50.1,20.0,68.5,1026.0,3.0
50.2,20.1,69.0,1026.0,3.0
50.1,20.1,69.5,1026.0,3.0
49.6,20.0,50.0,1026.0,3.0
50.0,20.0,50.5,1026.0,3.0
49.9,19.8,51.0,1026.0,3.0
49.8,19.9,51.5,1026.0,3.0
50.1,20.1,52.0,1026.0,3.0
50.3,19.8,52.5,1026.0,3.0
50.2,20.1,53.0,1026.0,3.0
49.9,19.9,53.5,1026.0,3.0
49.9,20.2,54.0,1026.0,3.0
49.9,20.1,54.5,1026.0,3.0
80.3,24.9,55.0,1028.0,8.0
80.4,25.1,55.5,1028.0,8.0
80.0,25.1,56.0,1028.0,8.0
80.4,24.9,56.5,1028.0,8.0
80.5,24.9,57.0,1028.0,8.0
79.8,24.8,57.5,1028.0,8.0
79.8,25.1,58.0,1028.0,8.0
79.7,25.0,58.5,1028.0,8.0
79.6,24.9,59.0,1028.0,8.0
80.2,24.9,59.5,1028.0,8.0
80.4,25.0,60.0,1028.0,8.0
79.9,24.8,60.5,1028.0,8.0
80.0,24.9,61.0,1028.0,8.0
79.5,25.0,61.5,1028.0,8.0
80.3,24.9,62.0,1028.0,8.0
79.9,25.1,62.5,1028.0,8.0
79.9,25.1,63.0,1028.0,8.0
79.8,24.9,63.5,1028.0,8.0
80.1,25.2,64.0,1028.0,8.0
80.5,25.2,64.5,1028.0,8.0
79.9,25.0,65.0,1028.0,8.0
79.6,24.9,65.5,1028.0,8.0
79.8,24.9,66.0,1028.0,8.0
80.1,24.9,66.5,1028.0,8.0
79.5,25.2,67.0,1028.0,8.0
80.1,30.1,67.5,1028.0,8.0
80.0,29.9,68.0,1028.0,8.0
80.3,30.0,68.5,1028.0,8.0
80.1,30.0,69.0,1028.0,8.0
80.0,29.9,69.5,1028.0,8.0
79.5,29.9,50.0,1028.0,3.0
79.9,30.0,50.5,1028.0,3.0
79.7,30.1,51.0,1028.0,3.0
79.6,29.8,51.5,1028.0,3.0
79.6,30.0,52.0,1028.0,3.0
80.1,29.9,52.5,1028.0,3.0
80.3,29.9,53.0,1028.0,3.0
80.0,29.8,53.5,1028.0,3.0
80.1,29.9,54.0,1028.0,3.0
79.8,29.9,54.5,1028.0,3.0
79.9,29.8,55.0,1028.0,3.0
79.6,30.1,55.5,1028.0,3.0
79.9,29.8,56.0,1028.0,3.0
80.2,29.8,56.5,1028.0,3.0
80.1,30.1,57.0,1028.0,3.0
79.6,29.9,57.5,1028.0,3.0
80.1,29.9,58.0,1028.0,3.0
80.2,30.2,58.5,1028.0,3.0
80.0,30.1,59.0,1028.0,3.0
79.8,29.9,59.5,1028.0,3.0
49.8,14.8,60.0,1010.0,3.0
49.7,15.2,60.5,1010.0,3.0
49.5,15.0,61.0,1010.0,3.0
50.2,15.1,61.5,1010.0,3.0
50.2,15.0,62.0,1010.0,3.0
50.2,14.9,62.5,1010.0,3.0
49.6,15.1,63.0,1010.0,3.0
49.7,14.8,63.5,1010.0,3.0
49.9,15.1,64.0,1010.0,3.0
50.0,15.2,64.5,1010.0,3.0
49.6,14.9,65.0,1010.0,8.0
50.3,15.0,65.5,1010.0,8.0
50.2,14.9,66.0,1010.0,8.0
49.7,15.2,66.5,1010.0,8.0
50.0,14.8,67.0,1010.0,8.0
49.5,14.9,67.5,1010.0,8.0
50.3,15.0,68.0,1010.0,8.0
49.7,15.1,68.5,1010.0,8.0
50.0,15.1,69.0,1010.0,8.0
49.8,15.1,69.5,1010.0,8.0
50.0,14.9,50.0,1010.0,8.0
49.5,14.9,50.5,1010.0,8.0
49.6,14.9,51.0,1010.0,8.0
50.4,15.1,51.5,1010.0,8.0
49.7,14.9,52.0,1010.0,8.0
49.9,19.9,52.5,1010.0,8.0
50.4,20.0,53.0,1010.0,8.0
50.5,20.1,53.5,1010.0,8.0
50.2,20.2,54.0,1010.0,8.0
50.3,20.0,54.5,1010.0,8.0
49.6,20.1,55.0,1010.0,8.0
50.5,19.9,55.5,1010.0,8.0
49.7,20.1,56.0,1010.0,8.0
50.5,19.9,56.5,1010.0,8.0
50.1,20.0,57.0,1010.0,8.0
49.8,19.9,57.5,1010.0,8.0
50.0,20.2,58.0,1010.0,8.0
50.3,20.2,58.5,1010.0,8.0
50.0,19.9,59.0,1010.0,8.0
50.3,19.9,59.5,1010.0,8.0
50.1,19.8,60.0,1010.0,3.0
50.0,19.8,60.5,1010.0,3.0
49.8,20.1,61.0,1010.0,3.0
49.8,19.9,61.5,1010.0,3.0
49.7,20.0,62.0,1010.0,3.0
50.1,20.2,62.5,1010.0,3.0
50.2,19.9,63.0,1010.0,3.0
50.5,19.9,63.5,1010.0,3.0
50.3,20.1,64.0,1010.0,3.0
49.9,20.0,64.5,1010.0,3.0
79.6,25.0,65.0,1012.0,3.0
79.9,24.9,65.5,1012.0,3.0
79.6,25.2,66.0,1012.0,3.0
80.1,25.0,66.5,1012.0,3.0
80.0,24.9,67.0,1012.0,3.0
79.5,25.1,67.5,1012.0,3.0
80.0,25.2,68.0,1012.0,3.0
80.3,25.1,68.5,1012.0,3.0
80.5,25.0,69.0,1012.0,3.0
80.5,25.0,69.5,1012.0,3.0
80.0,25.2,50.0,1012.0,3.0
79.6,24.8,50.5,1012.0,3.0
80.1,24.9,51.0,1012.0,3.0
79.8,25.1,51.5,1012.0,3.0
80.1,25.2,52.0,1012.0,3.0
80.0,25.0,52.5,1012.0,3.0
80.4,24.9,53.0,1012.0,3.0
80.3,25.0,53.5,1012.0,3.0
80.1,25.0,54.0,1012.0,3.0
79.9,24.9,54.5,1012.0,3.0
79.7,24.9,55.0,1012.0,8.0
80.2,24.8,55.5,1012.0,8.0
79.9,25.1,56.0,1012.0,8.0
80.0,25.2,56.5,1012.0,8.0
80.4,25.0,57.0,1012.0,8.0
80.2,29.8,57.5,1012.0,8.0
80.0,30.2,58.0,1012.0,8.0
80.4,30.0,58.5,1012.0,8.0
79.8,30.0,59.0,1012.0,8.0
79.7,30.1,59.5,1012.0,8.0
80.3,30.1,60.0,1012.0,8.0
80.5,30.2,60.5,1012.0,8.0
79.9,29.8,61.0,1012.0,8.0
79.5,30.1,61.5,1012.0,8.0
80.0,30.0,62.0,1012.0,8.0
80.3,29.9,62.5,1012.0,8.0
80.1,29.8,63.0,1012.0,8.0
80.3,30.0,63.5,1012.0,8.0
80.0,29.9,64.0,1012.0,8.0
79.7,29.9,64.5,1012.0,8.0
79.7,30.1,65.0,1012.0,8.0
79.5,30.2,65.5,1012.0,8.0
79.7,29.9,66.0,1012.0,8.0
80.5,30.1,66.5,1012.0,8.0
80.4,30.1,67.0,1012.0,8.0
79.8,30.1,67.5,1012.0,8.0
79.7,29.8,68.0,1012.0,8.0
80.1,29.9,68.5,1012.0,8.0
79.9,29.9,69.0,1012.0,8.0
79.9,29.9,69.5,1012.0,8.0
49.9,15.1,50.0,1014.0,3.0
50.4,14.9,50.5,1014.0,3.0
50.2,15.0,51.0,1014.0,3.0
50.5,15.0,51.5,1014.0,3.0
49.7,15.0,52.0,1014.0,3.0
50.3,15.0,52.5,1014.0,3.0
50.1,14.8,53.0,1014.0,3.0
50.0,15.0,53.5,1014.0,3.0
49.6,15.0,54.0,1014.0,3.0
50.5,15.1,54.5,1014.0,3.0
50.3,15.0,55.0,1014.0,3.0
50.0,15.2,55.5,1014.0,3.0
49.9,15.1,56.0,1014.0,3.0
49.6,14.9,56.5,1014.0,3.0
50.0,15.1,57.0,1014.0,3.0
49.5,15.1,57.5,1014.0,3.0
50.0,15.0,58.0,1014.0,3.0
50.3,14.9,58.5,1014.0,3.0
50.1,15.2,59.0,1014.0,3.0
50.1,15.0,59.5,1014.0,3.0
49.8,15.1,60.0,1014.0,3.0
50.4,15.1,60.5,1014.0,3.0
50.5,14.9,61.0,1014.0,3.0
50.4,14.9,61.5,1014.0,3.0
50.4,15.0,62.0,1014.0,3.0
50.0,19.9,62.5,1014.0,3.0
50.2,20.1,63.0,1014.0,3.0
50.4,19.8,63.5,1014.0,3.0
50.0,20.1,64.0,1014.0,3.0
49.6,19.8,64.5,1014.0,3.0
50.5,19.9,65.0,1014.0,8.0
49.6,19.9,65.5,1014.0,8.0
49.9,19.9,66.0,1014.0,8.0
49.8,20.0,66.5,1014.0,8.0
50.5,20.1,67.0,1014.0,8.0
50.1,19.9,67.5,1014.0,8.0
49.8,20.1,68.0,1014.0,8.0
50.1,20.0,68.5,1014.0,8.0
49.5,20.0,69.0,1014.0,8.0
49.7,19.8,69.5,1014.0,8.0
49.8,20.1,50.0,1014.0,8.0
50.0,20.1,50.5,1014.0,8.0
50.1,20.1,51.0,1014.0,8.0
50.0,19.8,51.5,1014.0,8.0
50.1,19.9,52.0,1014.0,8.0
50.4,19.9,52.5,1014.0,8.0
49.8,20.1,53.0,1014.0,8.0
50.3,19.9,53.5,1014.0,8.0
49.9,19.8,54.0,1014.0,8.0
49.5,20.0,54.5,1014.0,8.0
80.2,25.0,55.0,1016.0,8.0
79.5,25.0,55.5,1016.0,8.0
80.3,24.9,56.0,1016.0,8.0
79.8,25.1,56.5,1016.0,8.0
80.1,24.9,57.0,1016.0,8.0
79.8,25.0,57.5,1016.0,8.0
80.2,25.2,58.0,1016.0,8.0
79.7,25.0,58.5,1016.0,8.0
79.8,25.0,59.0,1016.0,8.0
80.2,25.0,59.5,1016.0,8.0
79.5,25.1,60.0,1016.0,3.0
79.9,25.0,60.5,1016.0,3.0
79.9,25.2,61.0,1016.0,3.0
79.8,25.1,61.5,1016.0,3.0
