value1,sensor1,sensor2,sensor3,sensor4
128.1,110.0,200.0,95.0,235.0
126.1,109.8,200.0,95.0,235.0
124.1,110.2,200.0,95.0,235.0
122.0,109.8,200.0,95.0,235.0
119.8,110.0,200.0,70.0,235.0
118.0,110.1,200.0,70.0,235.0
115.8,110.0,200.0,70.0,235.0
113.8,110.2,200.0,70.0,235.0
112.1,109.9,200.0,70.0,235.0
110.3,109.8,200.0,70.0,235.0
107.7,109.9,200.0,70.0,235.0
106.0,109.9,200.0,70.0,235.0
104.2,110.1,200.0,70.0,235.0
101.8,109.9,200.0,70.0,235.0
100.1,95.1,200.0,70.0,240.0
102.1,95.2,200.0,70.0,240.0
104.2,95.2,200.0,70.0,240.0
105.9,94.9,200.0,70.0,240.0
107.8,94.9,200.0,70.0,240.0
109.8,94.9,200.0,70.0,240.0
112.2,94.9,200.0,70.0,240.0
114.1,95.0,200.0,70.0,240.0
115.9,94.9,200.0,70.0,240.0
118.1,95.1,200.0,70.0,240.0
119.8,94.8,210.0,70.0,240.0
122.3,95.0,210.0,70.0,240.0
124.0,95.0,210.0,70.0,240.0
125.8,95.1,210.0,70.0,240.0
127.7,94.8,210.0,70.0,240.0
130.1,95.2,210.0,70.0,240.0
132.3,94.9,210.0,70.0,240.0
133.9,95.0,210.0,70.0,240.0
136.2,95.1,210.0,70.0,240.0
137.9,95.0,210.0,70.0,240.0
139.8,94.8,210.0,70.0,240.0
142.2,95.0,210.0,70.0,240.0
144.1,95.0,210.0,70.0,240.0
145.8,94.9,210.0,70.0,240.0
147.9,95.1,210.0,70.0,240.0
150.0,95.0,210.0,95.0,240.0
152.3,94.8,210.0,95.0,240.0
153.8,95.0,210.0,95.0,240.0
156.2,95.0,210.0,95.0,240.0
157.9,95.1,210.0,95.0,240.0
160.2,95.1,210.0,95.0,240.0
161.8,94.8,210.0,95.0,240.0
163.9,94.8,210.0,95.0,240.0
166.0,95.1,210.0,95.0,240.0
168.0,95.0,210.0,95.0,240.0
170.0,94.9,210.0,95.0,240.0
172.3,95.1,210.0,95.0,240.0
174.0,95.1,210.0,95.0,240.0
176.0,95.0,210.0,95.0,240.0
178.0,95.0,210.0,95.0,240.0
180.1,90.0,220.0,95.0,245.0
178.0,89.8,220.0,95.0,245.0
175.9,90.2,220.0,95.0,245.0
173.8,90.1,220.0,95.0,245.0
172.0,90.2,220.0,95.0,245.0
169.7,89.9,220.0,95.0,245.0
167.7,90.0,220.0,95.0,245.0
166.2,90.2,220.0,95.0,245.0
163.9,89.8,220.0,95.0,245.0
162.1,90.0,220.0,95.0,245.0
159.9,90.1,220.0,95.0,245.0
157.8,90.2,220.0,95.0,245.0
155.9,89.8,220.0,95.0,245.0
154.2,90.1,220.0,95.0,245.0
152.1,90.1,220.0,95.0,245.0
150.3,89.9,220.0,95.0,245.0
148.3,90.0,220.0,95.0,245.0
146.2,89.9,220.0,95.0,245.0
143.8,90.2,220.0,95.0,245.0
141.8,90.1,220.0,95.0,245.0
140.3,89.9,220.0,70.0,245.0
138.0,89.8,220.0,70.0,245.0
135.8,90.0,220.0,70.0,245.0
133.7,90.2,220.0,70.0,245.0
132.1,90.1,220.0,70.0,245.0
129.8,90.0,220.0,70.0,245.0
127.9,90.1,220.0,70.0,245.0
125.9,90.1,220.0,70.0,245.0
124.2,90.2,220.0,70.0,245.0
121.9,89.9,220.0,70.0,245.0
119.9,90.1,230.0,70.0,245.0
118.2,90.1,230.0,70.0,245.0
116.1,90.2,230.0,70.0,245.0
113.7,90.1,230.0,70.0,245.0
112.2,89.9,230.0,70.0,245.0
109.8,90.1,230.0,70.0,245.0
108.1,89.8,230.0,70.0,245.0
105.9,89.9,230.0,70.0,245.0
104.3,90.0,230.0,70.0,245.0
102.2,90.1,230.0,70.0,245.0
100.0,110.1,230.0,70.0,250.0
102.2,110.1,230.0,70.0,250.0
104.1,109.9,230.0,70.0,250.0
105.8,109.9,230.0,70.0,250.0
108.2,110.2,230.0,70.0,250.0
110.2,110.1,230.0,70.0,250.0
111.9,110.0,230.0,70.0,250.0
113.8,110.1,230.0,70.0,250.0
116.0,109.8,230.0,70.0,250.0
117.8,110.0,230.0,70.0,250.0
120.2,110.1,230.0,70.0,250.0
122.0,110.1,230.0,70.0,250.0
124.2,110.0,230.0,70.0,250.0
126.2,109.9,230.0,70.0,250.0
128.0,109.9,230.0,70.0,250.0
130.1,110.0,230.0,95.0,250.0
132.0,110.1,230.0,95.0,250.0
133.8,110.2,230.0,95.0,250.0
136.3,110.0,230.0,95.0,250.0
138.0,110.1,230.0,95.0,250.0
139.8,110.0,240.0,95.0,250.0
142.2,109.9,240.0,95.0,250.0
144.1,110.1,240.0,95.0,250.0
145.7,109.8,240.0,95.0,250.0
147.9,109.8,240.0,95.0,250.0
149.9,110.1,240.0,95.0,250.0
151.7,109.8,240.0,95.0,250.0
153.9,109.9,240.0,95.0,250.0
156.2,110.0,240.0,95.0,250.0
157.8,110.1,240.0,95.0,250.0
159.9,110.1,240.0,95.0,250.0
161.9,109.9,240.0,95.0,250.0
164.2,109.8,240.0,95.0,250.0
166.3,109.9,240.0,95.0,250.0
167.8,110.0,240.0,95.0,250.0
169.8,109.9,240.0,95.0,250.0
172.0,109.8,240.0,95.0,250.0
174.1,109.9,240.0,95.0,250.0
176.1,110.2,240.0,95.0,250.0
178.0,110.0,240.0,95.0,250.0
179.8,95.0,240.0,95.0,255.0
177.7,95.1,240.0,95.0,255.0
176.2,95.2,240.0,95.0,255.0
173.9,95.0,240.0,95.0,255.0
172.2,94.9,240.0,95.0,255.0
170.2,95.2,240.0,95.0,255.0
168.2,95.0,240.0,95.0,255.0
166.0,94.8,240.0,95.0,255.0
163.9,95.1,240.0,95.0,255.0
162.0,94.9,240.0,95.0,255.0
160.0,95.2,250.0,70.0,255.0
158.0,94.9,250.0,70.0,255.0
156.0,94.9,250.0,70.0,255.0
154.0,94.8,250.0,70.0,255.0
151.9,95.0,250.0,70.0,255.0
149.8,95.1,250.0,70.0,255.0
147.9,95.0,250.0,70.0,255.0
145.8,94.9,250.0,70.0,255.0
144.1,95.0,250.0,70.0,255.0
141.8,94.9,250.0,70.0,255.0
140.2,94.9,250.0,70.0,255.0
138.3,94.8,250.0,70.0,255.0
136.2,95.1,250.0,70.0,255.0
134.3,94.9,250.0,70.0,255.0
132.3,94.8,250.0,70.0,255.0
130.0,95.1,250.0,70.0,255.0
128.2,95.0,250.0,70.0,255.0
126.2,95.0,250.0,70.0,255.0
123.9,95.0,250.0,70.0,255.0
122.2,95.1,250.0,70.0,255.0
119.9,94.8,250.0,70.0,255.0
117.9,95.0,250.0,70.0,255.0
115.9,95.1,250.0,70.0,255.0
114.0,95.0,250.0,70.0,255.0
112.0,95.0,250.0,70.0,255.0
109.8,95.0,250.0,70.0,255.0
108.2,95.0,250.0,70.0,255.0
106.1,94.9,250.0,70.0,255.0
104.0,95.0,250.0,70.0,255.0
101.8,94.8,250.0,70.0,255.0
99.9,89.9,180.0,70.0,260.0
101.8,90.0,180.0,70.0,260.0
104.3,89.9,180.0,70.0,260.0
105.9,89.8,180.0,70.0,260.0
107.8,90.2,180.0,70.0,260.0
109.7,90.0,180.0,95.0,260.0
111.9,89.9,180.0,95.0,260.0
114.1,89.9,180.0,95.0,260.0
115.7,90.1,180.0,95.0,260.0
117.7,90.0,180.0,95.0,260.0
120.1,89.9,180.0,95.0,260.0
122.2,89.8,180.0,95.0,260.0
124.1,90.0,180.0,95.0,260.0
126.1,90.0,180.0,95.0,260.0
128.0,89.8,180.0,95.0,260.0
130.0,90.1,180.0,95.0,260.0
132.1,90.1,180.0,95.0,260.0
133.9,89.9,180.0,95.0,260.0
135.9,90.2,180.0,95.0,260.0
138.2,89.9,180.0,95.0,260.0
139.9,89.9,180.0,95.0,260.0
142.1,90.0,180.0,95.0,260.0
144.0,90.1,180.0,95.0,260.0
146.3,90.1,180.0,95.0,260.0
148.0,90.0,180.0,95.0,260.0
149.9,89.9,180.0,95.0,260.0
151.8,90.1,180.0,95.0,260.0
153.8,90.1,180.0,95.0,260.0
155.9,89.8,180.0,95.0,260.0
157.8,90.2,180.0,95.0,260.0
160.2,90.0,190.0,95.0,260.0
161.9,90.1,190.0,95.0,260.0
164.0,90.1,190.0,95.0,260.0
166.0,90.1,190.0,95.0,260.0
167.8,90.2,190.0,95.0,260.0
170.1,90.1,190.0,95.0,260.0
171.9,89.9,190.0,95.0,260.0
173.8,90.1,190.0,95.0,260.0
176.2,90.0,190.0,95.0,260.0
178.2,90.1,190.0,95.0,260.0
179.7,109.9,190.0,70.0,265.0
178.3,110.2,190.0,70.0,265.0
176.0,109.9,190.0,70.0,265.0
174.2,110.1,190.0,70.0,265.0
172.0,109.8,190.0,70.0,265.0
170.1,110.0,190.0,70.0,265.0
167.8,110.1,190.0,70.0,265.0
166.1,109.8,190.0,70.0,265.0
164.0,110.2,190.0,70.0,265.0
161.9,110.0,190.0,70.0,265.0
159.8,110.0,190.0,70.0,265.0
157.7,110.0,190.0,70.0,265.0
156.2,109.9,190.0,70.0,265.0
153.8,110.1,190.0,70.0,265.0
152.2,110.0,190.0,70.0,265.0
150.0,109.8,190.0,70.0,265.0
148.2,110.1,190.0,70.0,265.0
146.2,109.9,190.0,70.0,265.0
144.2,110.1,190.0,70.0,265.0
141.8,109.8,190.0,70.0,265.0
139.8,110.0,200.0,70.0,265.0
137.9,109.9,200.0,70.0,265.0
136.3,110.1,200.0,70.0,265.0
133.9,110.0,200.0,70.0,265.0
132.0,109.9,200.0,70.0,265.0
129.9,110.1,200.0,70.0,265.0
127.9,109.9,200.0,70.0,265.0
126.0,110.1,200.0,70.0,265.0
124.0,110.1,200.0,70.0,265.0
121.8,110.1,200.0,70.0,265.0
119.9,110.2,200.0,70.0,265.0
118.1,110.1,200.0,70.0,265.0
115.7,110.0,200.0,70.0,265.0
114.0,110.2,200.0,70.0,265.0
111.9,110.0,200.0,70.0,265.0
110.0,110.0,200.0,95.0,265.0
108.0,110.0,200.0,95.0,265.0
106.0,110.1,200.0,95.0,265.0
103.8,110.0,200.0,95.0,265.0
101.9,110.0,200.0,95.0,265.0
100.0,95.0,200.0,95.0,270.0
101.9,95.2,200.0,95.0,270.0
104.2,94.8,200.0,95.0,270.0
105.7,94.9,200.0,95.0,270.0
107.7,95.1,200.0,95.0,270.0
109.8,94.9,200.0,95.0,270.0
111.8,94.9,200.0,95.0,270.0
114.0,95.2,200.0,95.0,270.0
115.8,95.0,200.0,95.0,270.0
117.7,94.9,200.0,95.0,270.0
120.0,94.9,210.0,95.0,270.0
121.8,95.0,210.0,95.0,270.0
124.1,95.2,210.0,95.0,270.0
125.8,95.0,210.0,95.0,270.0
127.9,94.8,210.0,95.0,270.0
129.8,95.0,210.0,95.0,270.0
132.1,95.1,210.0,95.0,270.0
134.2,94.9,210.0,95.0,270.0
135.9,95.1,210.0,95.0,270.0
138.0,94.8,210.0,95.0,270.0
140.3,95.0,210.0,95.0,270.0
142.0,94.9,210.0,95.0,270.0
144.0,95.1,210.0,95.0,270.0
145.8,95.1,210.0,95.0,270.0
148.1,95.0,210.0,95.0,270.0
149.7,95.2,210.0,95.0,270.0
152.2,95.0,210.0,95.0,270.0
153.7,95.2,210.0,95.0,270.0
155.8,94.8,210.0,95.0,270.0
158.2,95.1,210.0,95.0,270.0
160.1,95.0,210.0,70.0,270.0
162.0,95.1,210.0,70.0,270.0
163.9,94.9,210.0,70.0,270.0
165.7,94.9,210.0,70.0,270.0
167.9,95.2,210.0,70.0,270.0
169.9,95.2,210.0,70.0,270.0
171.9,95.1,210.0,70.0,270.0
174.2,94.8,210.0,70.0,270.0
176.2,94.9,210.0,70.0,270.0
178.2,95.1,210.0,70.0,270.0
180.1,90.0,220.0,70.0,275.0
177.8,90.2,220.0,70.0,275.0
175.7,89.8,220.0,70.0,275.0
173.7,90.2,220.0,70.0,275.0
172.2,90.1,220.0,70.0,275.0
169.9,89.9,220.0,70.0,275.0
167.8,90.2,220.0,70.0,275.0
166.3,89.9,220.0,70.0,275.0
163.8,90.1,220.0,70.0,275.0
161.8,90.1,220.0,70.0,275.0
160.2,90.1,220.0,70.0,275.0
157.8,89.9,220.0,70.0,275.0
155.9,90.1,220.0,70.0,275.0
154.0,90.0,220.0,70.0,275.0
152.1,90.2,220.0,70.0,275.0
150.0,90.0,220.0,70.0,275.0
148.3,90.0,220.0,70.0,275.0
145.9,90.2,220.0,70.0,275.0
143.7,90.1,220.0,70.0,275.0
141.8,90.1,220.0,70.0,275.0
140.3,90.1,220.0,70.0,275.0
137.9,90.2,220.0,70.0,275.0
135.8,90.0,220.0,70.0,275.0
133.8,89.9,220.0,70.0,275.0
131.8,90.0,220.0,70.0,275.0
129.8,90.2,220.0,95.0,275.0
128.1,90.1,220.0,95.0,275.0
126.2,90.2,220.0,95.0,275.0
123.9,90.0,220.0,95.0,275.0
122.2,90.0,220.0,95.0,275.0
120.3,89.9,230.0,95.0,275.0
118.2,89.9,230.0,95.0,275.0
116.1,90.1,230.0,95.0,275.0
114.0,90.1,230.0,95.0,275.0
112.0,90.1,230.0,95.0,275.0
110.3,89.8,230.0,95.0,275.0
107.9,89.8,230.0,95.0,275.0
106.1,89.8,230.0,95.0,275.0
104.1,90.0,230.0,95.0,275.0
102.3,89.9,230.0,95.0,275.0
99.9,110.0,230.0,95.0,280.0
102.1,109.9,230.0,95.0,280.0
103.9,110.0,230.0,95.0,280.0
106.2,110.0,230.0,95.0,280.0
108.2,109.9,230.0,95.0,280.0
110.3,109.9,230.0,95.0,280.0
111.8,110.0,230.0,95.0,280.0
114.2,109.9,230.0,95.0,280.0
116.1,110.1,230.0,95.0,280.0
117.9,109.9,230.0,95.0,280.0
120.3,110.1,230.0,95.0,280.0
122.2,110.1,230.0,95.0,280.0
124.3,110.1,230.0,95.0,280.0
126.1,110.2,230.0,95.0,280.0
127.8,109.9,230.0,95.0,280.0
129.7,110.1,230.0,95.0,280.0
132.1,110.1,230.0,95.0,280.0
134.2,110.0,230.0,95.0,280.0
136.1,109.9,230.0,95.0,280.0
138.2,109.9,230.0,95.0,280.0
139.9,109.9,240.0,70.0,280.0
142.2,110.0,240.0,70.0,280.0
144.2,109.9,240.0,70.0,280.0
146.0,110.1,240.0,70.0,280.0
148.3,109.9,240.0,70.0,280.0
150.1,109.8,240.0,70.0,280.0
151.9,110.1,240.0,70.0,280.0
154.2,110.0,240.0,70.0,280.0
155.9,110.2,240.0,70.0,280.0
158.1,110.0,240.0,70.0,280.0
160.2,109.8,240.0,70.0,280.0
161.8,110.1,240.0,70.0,280.0
164.0,109.9,240.0,70.0,280.0
166.1,110.1,240.0,70.0,280.0
167.7,109.9,240.0,70.0,280.0
170.3,110.1,240.0,70.0,280.0
172.3,110.1,240.0,70.0,280.0
174.0,109.8,240.0,70.0,280.0
176.2,109.9,240.0,70.0,280.0
178.0,109.9,240.0,70.0,280.0
180.0,95.1,240.0,70.0,285.0
177.9,95.0,240.0,70.0,285.0
175.7,94.9,240.0,70.0,285.0
173.7,95.0,240.0,70.0,285.0
172.2,95.0,240.0,70.0,285.0
169.7,94.8,240.0,70.0,285.0
167.8,95.1,240.0,70.0,285.0
166.0,94.9,240.0,70.0,285.0
164.2,95.0,240.0,70.0,285.0
162.1,94.9,240.0,70.0,285.0
159.7,95.1,250.0,70.0,285.0
158.2,95.0,250.0,70.0,285.0
156.2,95.2,250.0,70.0,285.0
153.9,95.0,250.0,70.0,285.0
152.1,95.0,250.0,70.0,285.0
150.2,95.1,250.0,95.0,285.0
148.1,94.9,250.0,95.0,285.0
145.7,95.0,250.0,95.0,285.0
143.8,94.8,250.0,95.0,285.0
141.8,94.9,250.0,95.0,285.0
139.9,94.9,250.0,95.0,285.0
137.8,94.8,250.0,95.0,285.0
136.2,94.9,250.0,95.0,285.0
133.9,95.1,250.0,95.0,285.0
131.8,95.1,250.0,95.0,285.0
130.2,95.2,250.0,95.0,285.0
128.0,94.9,250.0,95.0,285.0
125.9,94.9,250.0,95.0,285.0
124.1,95.1,250.0,95.0,285.0
121.9,95.2,250.0,95.0,285.0
120.0,94.8,250.0,95.0,285.0
117.7,95.1,250.0,95.0,285.0
115.9,95.2,250.0,95.0,285.0
114.0,95.1,250.0,95.0,285.0
112.3,95.2,250.0,95.0,285.0
109.9,95.0,250.0,95.0,285.0
108.0,95.1,250.0,95.0,285.0
106.1,95.1,250.0,95.0,285.0
104.1,95.2,250.0,95.0,285.0
102.1,95.0,250.0,95.0,285.0
99.8,90.2,180.0,95.0,230.0
101.9,89.9,180.0,95.0,230.0
104.2,89.9,180.0,95.0,230.0
106.2,90.0,180.0,95.0,230.0
107.9,90.0,180.0,95.0,230.0
110.1,89.9,180.0,95.0,230.0
112.0,90.0,180.0,95.0,230.0
113.9,90.1,180.0,95.0,230.0
116.1,90.2,180.0,95.0,230.0
118.2,89.9,180.0,95.0,230.0
119.9,90.0,180.0,70.0,230.0
122.1,90.2,180.0,70.0,230.0
124.3,89.8,180.0,70.0,230.0
125.7,89.8,180.0,70.0,230.0
128.0,90.1,180.0,70.0,230.0
130.1,90.1,180.0,70.0,230.0
131.8,89.9,180.0,70.0,230.0
134.2,90.0,180.0,70.0,230.0
135.9,90.1,180.0,70.0,230.0
138.1,90.0,180.0,70.0,230.0
140.2,90.0,180.0,70.0,230.0
141.9,89.9,180.0,70.0,230.0
144.1,90.1,180.0,70.0,230.0
145.9,89.9,180.0,70.0,230.0
147.9,89.9,180.0,70.0,230.0
149.9,90.1,180.0,70.0,230.0
151.7,89.8,180.0,70.0,230.0
154.2,90.2,180.0,70.0,230.0
155.9,89.8,180.0,70.0,230.0
157.9,90.1,180.0,70.0,230.0
160.0,89.9,190.0,70.0,230.0
161.9,89.9,190.0,70.0,230.0
164.1,90.0,190.0,70.0,230.0
165.9,90.0,190.0,70.0,230.0
168.3,90.1,190.0,70.0,230.0
170.1,90.1,190.0,70.0,230.0
171.9,90.0,190.0,70.0,230.0
174.2,90.1,190.0,70.0,230.0
175.9,90.2,190.0,70.0,230.0
178.2,89.9,190.0,70.0,230.0
180.3,110.0,190.0,70.0,235.0
177.9,109.9,190.0,70.0,235.0
176.3,110.2,190.0,70.0,235.0
173.9,110.1,190.0,70.0,235.0
171.9,110.1,190.0,70.0,235.0
170.0,110.1,190.0,95.0,235.0
168.3,110.0,190.0,95.0,235.0
166.0,110.1,190.0,95.0,235.0
163.8,110.0,190.0,95.0,235.0
162.1,110.0,190.0,95.0,235.0
160.3,109.9,190.0,95.0,235.0
158.2,110.1,190.0,95.0,235.0
155.9,109.8,190.0,95.0,235.0
154.1,109.9,190.0,95.0,235.0
151.9,109.8,190.0,95.0,235.0
149.7,109.8,190.0,95.0,235.0
148.0,110.0,190.0,95.0,235.0
146.0,109.9,190.0,95.0,235.0
144.1,110.2,190.0,95.0,235.0
141.7,110.0,190.0,95.0,235.0
139.9,109.9,200.0,95.0,235.0
138.2,109.9,200.0,95.0,235.0
135.8,110.1,200.0,95.0,235.0
134.0,110.1,200.0,95.0,235.0
132.2,110.2,200.0,95.0,235.0
130.0,110.2,200.0,95.0,235.0
127.7,110.0,200.0,95.0,235.0
125.7,109.9,200.0,95.0,235.0
123.9,110.1,200.0,95.0,235.0
122.0,110.0,200.0,95.0,235.0
119.9,109.9,200.0,95.0,235.0
117.8,109.9,200.0,95.0,235.0
116.1,110.2,200.0,95.0,235.0
113.8,109.8,200.0,95.0,235.0
111.7,110.1,200.0,95.0,235.0
110.1,110.1,200.0,95.0,235.0
107.7,109.8,200.0,95.0,235.0
106.3,109.9,200.0,95.0,235.0
104.2,110.1,200.0,95.0,235.0
101.9,110.1,200.0,95.0,235.0
100.0,94.8,200.0,70.0,240.0
102.0,95.0,200.0,70.0,240.0
103.9,95.1,200.0,70.0,240.0
106.0,95.0,200.0,70.0,240.0
107.8,95.0,200.0,70.0,240.0
110.0,95.1,200.0,70.0,240.0
112.2,95.2,200.0,70.0,240.0
113.8,95.0,200.0,70.0,240.0
115.9,95.2,200.0,70.0,240.0
118.0,94.8,200.0,70.0,240.0
120.2,95.1,210.0,70.0,240.0
121.8,94.9,210.0,70.0,240.0
124.2,94.8,210.0,70.0,240.0
125.9,95.2,210.0,70.0,240.0
127.9,95.2,210.0,70.0,240.0
130.0,94.9,210.0,70.0,240.0
132.0,94.9,210.0,70.0,240.0
133.7,94.9,210.0,70.0,240.0
136.2,95.1,210.0,70.0,240.0
137.7,94.9,210.0,70.0,240.0
140.2,94.9,210.0,70.0,240.0
142.0,95.0,210.0,70.0,240.0
143.9,94.9,210.0,70.0,240.0
146.2,94.8,210.0,70.0,240.0
148.2,95.1,210.0,70.0,240.0
150.3,94.8,210.0,70.0,240.0
151.8,95.1,210.0,70.0,240.0
154.3,95.1,210.0,70.0,240.0
156.1,95.1,210.0,70.0,240.0
157.8,94.8,210.0,70.0,240.0
159.8,95.0,210.0,70.0,240.0
162.1,95.0,210.0,70.0,240.0
163.7,95.0,210.0,70.0,240.0
166.2,94.9,210.0,70.0,240.0
168.2,95.1,210.0,70.0,240.0
169.8,94.8,210.0,95.0,240.0
172.1,95.1,210.0,95.0,240.0
174.2,95.2,210.0,95.0,240.0
175.9,94.8,210.0,95.0,240.0
177.8,95.0,210.0,95.0,240.0
179.8,89.8,220.0,95.0,245.0
178.2,90.1,220.0,95.0,245.0
175.8,89.9,220.0,95.0,245.0
174.2,89.9,220.0,95.0,245.0
172.1,89.9,220.0,95.0,245.0
170.1,90.0,220.0,95.0,245.0
168.2,90.2,220.0,95.0,245.0
165.8,90.1,220.0,95.0,245.0
164.0,89.8,220.0,95.0,245.0
162.2,90.2,220.0,95.0,245.0
160.3,89.9,220.0,95.0,245.0
158.1,89.9,220.0,95.0,245.0
155.7,90.2,220.0,95.0,245.0
154.1,90.1,220.0,95.0,245.0
152.0,90.1,220.0,95.0,245.0
149.9,90.0,220.0,95.0,245.0
147.7,89.9,220.0,95.0,245.0
145.9,89.8,220.0,95.0,245.0
144.3,90.1,220.0,95.0,245.0
142.0,89.8,220.0,95.0,245.0
139.8,89.9,220.0,95.0,245.0
138.0,90.1,220.0,95.0,245.0
136.2,90.1,220.0,95.0,245.0
133.8,89.9,220.0,95.0,245.0
132.1,89.9,220.0,95.0,245.0
130.0,90.1,220.0,95.0,245.0
127.9,89.9,220.0,95.0,245.0
125.8,90.0,220.0,95.0,245.0
124.1,90.2,220.0,95.0,245.0
122.0,90.2,220.0,95.0,245.0
120.1,89.9,230.0,70.0,245.0
117.9,89.9,230.0,70.0,245.0
116.2,90.0,230.0,70.0,245.0
113.8,90.0,230.0,70.0,245.0
111.8,89.9,230.0,70.0,245.0
110.1,89.9,230.0,70.0,245.0
108.3,89.8,230.0,70.0,245.0
106.2,90.1,230.0,70.0,245.0
103.7,90.0,230.0,70.0,245.0
102.2,89.8,230.0,70.0,245.0
100.2,110.0,230.0,70.0,250.0
102.3,109.8,230.0,70.0,250.0
104.1,109.8,230.0,70.0,250.0
105.9,110.0,230.0,70.0,250.0
108.1,109.9,230.0,70.0,250.0
109.8,109.9,230.0,70.0,250.0
112.2,110.2,230.0,70.0,250.0
114.0,110.2,230.0,70.0,250.0
116.1,110.0,230.0,70.0,250.0
118.3,110.1,230.0,70.0,250.0
120.1,109.9,230.0,70.0,250.0
121.7,109.8,230.0,70.0,250.0
123.7,110.0,230.0,70.0,250.0
126.0,109.9,230.0,70.0,250.0
128.1,109.8,230.0,70.0,250.0
130.3,110.2,230.0,70.0,250.0
132.2,110.1,230.0,70.0,250.0
134.0,110.0,230.0,70.0,250.0
136.2,110.0,230.0,70.0,250.0
138.2,109.9,230.0,70.0,250.0
139.7,110.2,240.0,70.0,250.0
142.1,110.2,240.0,70.0,250.0
144.1,109.9,240.0,70.0,250.0
146.0,110.0,240.0,70.0,250.0
148.3,110.0,240.0,70.0,250.0
149.8,110.1,240.0,95.0,250.0
151.9,110.1,240.0,95.0,250.0
154.2,110.2,240.0,95.0,250.0
155.9,110.1,240.0,95.0,250.0
157.8,110.0,240.0,95.0,250.0
160.2,109.8,240.0,95.0,250.0
162.1,110.0,240.0,95.0,250.0
164.1,109.8,240.0,95.0,250.0
165.7,110.0,240.0,95.0,250.0
168.3,110.1,240.0,95.0,250.0
170.2,110.1,240.0,95.0,250.0
172.2,109.9,240.0,95.0,250.0
174.2,109.8,240.0,95.0,250.0
175.9,109.8,240.0,95.0,250.0
178.2,110.2,240.0,95.0,250.0
180.0,94.9,240.0,95.0,255.0
177.7,94.8,240.0,95.0,255.0
176.2,94.9,240.0,95.0,255.0
173.7,94.9,240.0,95.0,255.0
171.8,94.9,240.0,95.0,255.0
169.9,95.2,240.0,95.0,255.0
168.3,94.9,240.0,95.0,255.0
166.1,95.0,240.0,95.0,255.0
163.7,94.9,240.0,95.0,255.0
162.2,95.1,240.0,95.0,255.0
160.3,95.0,250.0,95.0,255.0
158.2,94.9,250.0,95.0,255.0
155.8,95.0,250.0,95.0,255.0
153.8,95.2,250.0,95.0,255.0
152.1,94.9,250.0,95.0,255.0
150.3,94.9,250.0,95.0,255.0
148.2,95.0,250.0,95.0,255.0
